service_date_key,line_assigned_engineer_count,line_total_distance_km,line_total_duration_min,line_avg_distance_km,line_avg_duration_min,line_jobs_std,line_max_total_work_min,line_overflow_480_count,line_service_count,line_heavy_repair_count,line_tv_job_count,line_total_service_time_min,line_weighted_jobs_std,osrm_assigned_engineer_count,osrm_total_distance_km,osrm_total_duration_min,osrm_avg_distance_km,osrm_avg_duration_min,osrm_jobs_std,osrm_max_total_work_min,osrm_overflow_480_count,osrm_service_count,osrm_heavy_repair_count,osrm_tv_job_count,osrm_total_service_time_min,osrm_weighted_jobs_std
2026-02-10,17,1061.34,1197.24,62.43176470588235,70.42588235294117,0.9982683969692435,467.54,0,50,12,1,2910,1.1345471483521123,17,954.63,1092.92,56.15470588235294,64.28941176470589,1.2588785034725114,426.55,0,50,12,1,2910,1.1852612752711698
2026-02-11,17,1070.57,1216.31,62.974705882352936,71.54764705882353,0.8764508485736082,307.92,0,47,10,0,2665,1.081457430050014,17,828.4300000000001,964.89,48.73117647058824,56.75823529411765,1.1129934075543824,363.67,0,47,10,0,2665,1.5316725372107691
2026-02-12,17,1364.1000000000001,1396.06,80.24117647058824,82.12117647058824,0.903664205631601,357.84,0,45,14,1,2795,0.9150793638884733,17,989.91,1120.22,58.23,65.89529411764705,1.3258150199511347,463.1,0,45,14,1,2795,1.4997116216449367
2026-02-13,17,1212.6000000000001,1211.43,71.3294117647059,71.26058823529412,0.8022459821756386,347.88,0,35,3,4,1740,0.8764508485736082,17,1008.91,1023.35,63.056875,63.959375,1.2588785034725114,390.42,0,35,3,4,1740,1.3169567191065923
2026-02-14,17,91.1,105.48,30.366666666666664,35.160000000000004,0.3812200410828153,128.85,0,3,1,0,190,0.4714045207910317,17,174.76,160.82,58.25333333333333,53.60666666666666,0.3812200410828153,181.42,0,3,1,0,190,0.4714045207910317
2026-02-16,17,520.48,500.76,47.31636363636364,45.52363636363636,0.5703152773430975,146.64,0,12,1,0,595,0.385694607919935,17,458.85,458.98,45.885000000000005,45.898,0.6655122646461624,149.32,0,12,1,0,595,0.45825756949558405
2026-02-17,17,1419.58,1619.46,83.50470588235294,95.26235294117647,0.6389870877176598,396.34,0,67,12,3,3675,0.8360394355030526,17,1231.2,1448.77,72.4235294117647,85.22176470588235,1.055550496760374,438.88,0,67,12,3,3675,1.4528340041445258
2026-02-18,17,1104.26,1190.1799999999998,64.95647058823529,70.01058823529411,0.6960093862470137,359.21,0,43,14,0,2705,0.9665692191267637,17,871.35,995.01,51.25588235294118,58.53,0.9150793638884733,355.31,0,43,14,0,2705,1.1345471483521123
2026-02-19,17,1218.85,1377.94,71.6970588235294,81.05529411764707,0.6655122646461624,321.6,0,56,9,0,3015,0.5128116404165498,17,1063.22,1215.84,62.542352941176475,71.52,1.2725475089872904,396.74,0,56,9,0,3015,1.5043190414758143
2026-02-20,17,1084.34,1137.28,63.78470588235294,66.89882352941176,1.143660123248446,407.14,0,42,6,1,2220,1.3820400146436154,17,833.1800000000001,927.8000000000001,52.073750000000004,57.987500000000004,1.0910139406465535,393.09,0,42,6,1,2220,1.1726039399558574
