ZIP,GENERAL_MARKET,CITY_STATE,STATE,RSM,ASM,Grouping,Grouping Phase,2024 Avg Demand,Flag
87059,"Albuquerque, NM",Tijeras_NM,NM,James Sapp,Donald Mooney,B,Phase 3,1.25,
87060,"Albuquerque, NM",Tome_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87061,"Albuquerque, NM",Torreon_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87068,"Albuquerque, NM",Bosque Farms_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0.58,
87101,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87102,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,1.83,
87103,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87104,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,1.92,
87105,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,6,
87106,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,2.83,
87107,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,5.33,
87108,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,3.25,
87109,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,6.42,
87110,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,4.25,
87111,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,9,
87112,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,5.58,
87113,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,3.33,
87114,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,17.58,
87115,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87116,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87117,"Albuquerque, NM",Kirtland AFB_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87119,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87120,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,16.5,
87121,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,8.5,
87122,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,7.83,
87123,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,5,
87124,"Albuquerque, NM",Rio Rancho_NM,NM,James Sapp,Donald Mooney,B,Phase 3,10.42,
87125,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87131,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87144,"Albuquerque, NM",Rio Rancho_NM,NM,James Sapp,Donald Mooney,B,Phase 3,9.83,
87151,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87153,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87154,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87158,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87174,"Albuquerque, NM",Rio Rancho_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87176,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87181,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87184,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87185,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87187,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87190,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87191,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87192,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87193,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87194,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87195,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87196,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87197,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87198,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
87199,"Albuquerque, NM",Albuquerque_NM,NM,James Sapp,Donald Mooney,B,Phase 3,0,
71301,"Alexandria, LA",Alexandria_LA,LA,James Sapp,Joshua Longino,C,Phase 3,2,
71302,"Alexandria, LA",Alexandria_LA,LA,James Sapp,Joshua Longino,C,Phase 3,0.33,
71303,"Alexandria, LA",Alexandria_LA,LA,James Sapp,Joshua Longino,C,Phase 3,2.5,
71306,"Alexandria, LA",Alexandria_LA,LA,James Sapp,Joshua Longino,C,Phase 3,0,
71307,"Alexandria, LA",Alexandria_LA,LA,James Sapp,Joshua Longino,C,Phase 3,0,
71309,"Alexandria, LA",Alexandria_LA,LA,James Sapp,Joshua Longino,C,Phase 3,0,
