POSTAL_CODE,STRATEGIC_CITY_NAME,region_id,region_seq,AREA_NAME,new_region_name,area_type
30101,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30102,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30106,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30107,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30109,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30110,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30111,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30112,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30114,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30115,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30116,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30117,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30118,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30119,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30120,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30122,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30126,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30127,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30132,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30133,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30134,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30135,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30137,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30141,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30142,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30143,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30144,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30146,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30148,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30152,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30154,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30156,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30157,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30160,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30168,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
30169,Atlanta_6area,atlanta_6area_r02,2,Zone 2,Atlanta_6area Zone 2,DMS
30175,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30177,Atlanta_6area,atlanta_6area_r03,3,Zone 3,Atlanta_6area Zone 3,DMS
30179,Atlanta_6area,atlanta_6area_r01,1,Zone 1,Atlanta_6area Zone 1,DMS
