size,request_id,ok,status,elapsed_ms,response_bytes,osrm_code,error
500,74,True,200,3588.8010999187827,110336,Ok,
500,83,True,200,3584.647099953145,110336,Ok,
500,76,True,200,3590.7955998554826,110336,Ok,
500,70,True,200,3606.8965999875218,110336,Ok,
500,72,True,200,3755.5198001209646,110336,Ok,
500,71,True,200,3760.3327000979334,110336,Ok,
500,66,True,200,3778.3782999031246,110336,Ok,
500,68,True,200,3779.698899947107,110336,Ok,
500,88,True,200,3878.7507999222726,110336,Ok,
500,86,True,200,3882.560599828139,110336,Ok,
500,81,True,200,3904.4941999018192,110336,Ok,
500,73,True,200,3922.238999977708,110336,Ok,
500,97,True,200,4004.0716999210417,110336,Ok,
500,95,True,200,4028.6342999897897,110336,Ok,
500,80,True,200,4051.897200057283,110336,Ok,
500,75,True,200,4073.9905999507755,110336,Ok,
500,98,True,200,4176.138299982995,110336,Ok,
500,92,True,200,4201.581000117585,110336,Ok,
500,84,True,200,4212.072200141847,110336,Ok,
500,82,True,200,4226.4991998672485,110336,Ok,
500,93,True,200,4344.385400181636,110336,Ok,
500,96,True,200,4344.840999925509,110336,Ok,
500,91,True,200,4352.622900158167,110336,Ok,
500,87,True,200,4359.308999963105,110336,Ok,
500,94,True,200,4489.283700007945,110336,Ok,
500,77,True,200,4506.889399839565,110336,Ok,
500,90,True,200,4505.470199976116,110336,Ok,
500,89,True,200,4512.5616998411715,110336,Ok,
500,100,True,200,4619.285500142723,110336,Ok,
500,54,True,200,4651.716399937868,110336,Ok,
500,85,True,200,4643.193499883637,110336,Ok,
500,99,True,200,4638.221000088379,110336,Ok,
600,12,True,200,5288.541400106624,132457,Ok,
600,2,True,200,5353.708100039512,132457,Ok,
600,9,True,200,5508.351600030437,132457,Ok,
600,23,True,200,5512.9292998462915,132457,Ok,
600,31,True,200,5509.0887998230755,132457,Ok,
600,24,True,200,5516.272200038657,132457,Ok,
600,61,True,200,5488.3278999477625,132457,Ok,
600,75,True,200,5485.288199968636,132457,Ok,
600,6,True,200,5546.7085998971015,132457,Ok,
600,57,True,200,5524.036799790338,132457,Ok,
600,13,True,200,5589.422899996862,132457,Ok,
600,11,True,200,5596.280800178647,132457,Ok,
600,35,True,200,5578.199599869549,132457,Ok,
600,4,True,200,5604.543599998578,132457,Ok,
600,29,True,200,5586.93079999648,132457,Ok,
600,54,True,200,5564.142199931666,132457,Ok,
600,16,True,200,5598.705400014296,132457,Ok,
600,3,True,200,5613.793900003657,132457,Ok,
600,46,True,200,5577.539600199088,132457,Ok,
600,60,True,200,5622.021500021219,132457,Ok,
600,34,True,200,5658.894899999723,132457,Ok,
600,56,True,200,5639.650300145149,132457,Ok,
600,99,True,200,5555.022500222549,132457,Ok,
600,1,True,200,5694.508699933067,132457,Ok,
600,26,True,200,5676.795699866489,132457,Ok,
600,90,True,200,5591.451399959624,132457,Ok,
600,84,True,200,5653.410200029612,132457,Ok,
600,39,True,200,5704.31590010412,132457,Ok,
600,27,True,200,5716.146899852902,132457,Ok,
